Source,Target,Weight,Type,ID
1,18,2,Undirected,0
1,23,1,Undirected,1
1,28,2,Undirected,2
1,37,2,Undirected,3
2,4,4,Undirected,4
2,5,2,Undirected,5
2,6,2,Undirected,6
2,8,10,Undirected,7
2,10,2,Undirected,8
2,11,5,Undirected,9
2,19,4,Undirected,10
2,24,1,Undirected,11
2,25,5,Undirected,12
2,26,3,Undirected,13
2,30,10,Undirected,14
2,31,10,Undirected,15
2,32,4,Undirected,16
2,38,1,Undirected,17
2,39,1,Undirected,18
3,9,3,Undirected,19
3,11,3,Undirected,20
3,12,3,Undirected,21
3,14,3,Undirected,22
3,15,3,Undirected,23
3,20,3,Undirected,24
4,6,3,Undirected,25
4,8,6,Undirected,26
4,10,1,Undirected,27
4,11,5,Undirected,28
4,19,5,Undirected,29
4,25,6,Undirected,30
4,26,3,Undirected,31
4,30,5,Undirected,32
4,31,5,Undirected,33
4,32,6,Undirected,34
4,39,2,Undirected,35
5,8,5,Undirected,36
5,24,1,Undirected,37
5,30,2,Undirected,38
5,31,2,Undirected,39
5,38,1,Undirected,40
6,8,3,Undirected,41
6,10,1,Undirected,42
6,11,4,Undirected,43
6,19,3,Undirected,44
6,25,3,Undirected,45
6,26,1,Undirected,46
6,30,3,Undirected,47
6,31,3,Undirected,48
6,32,3,Undirected,49
6,39,2,Undirected,50
7,14,2,Undirected,51
8,10,2,Undirected,52
8,11,6,Undirected,53
8,16,2,Undirected,54
8,18,2,Undirected,55
8,19,5,Undirected,56
8,20,2,Undirected,57
8,23,7,Undirected,58
8,24,1,Undirected,59
8,25,7,Undirected,60
8,26,3,Undirected,61
8,27,2,Undirected,62
8,28,7,Undirected,63
8,29,1,Undirected,64
8,30,13,Undirected,65
8,31,12,Undirected,66
8,32,6,Undirected,67
8,34,3,Undirected,68
8,37,7,Undirected,69
8,38,1,Undirected,70
8,39,4,Undirected,71
9,11,3,Undirected,72
9,12,3,Undirected,73
9,14,7,Undirected,74
9,15,9,Undirected,75
9,20,6,Undirected,76
10,11,4,Undirected,77
10,19,1,Undirected,78
10,25,2,Undirected,79
10,30,2,Undirected,80
10,31,2,Undirected,81
10,32,1,Undirected,82
11,12,3,Undirected,83
11,13,2,Undirected,84
11,14,3,Undirected,85
11,15,3,Undirected,86
11,16,12,Undirected,87
11,17,3,Undirected,88
11,19,8,Undirected,89
11,20,3,Undirected,90
11,22,4,Undirected,91
11,25,6,Undirected,92
11,26,3,Undirected,93
11,30,6,Undirected,94
11,31,6,Undirected,95
11,32,5,Undirected,96
11,33,4,Undirected,97
11,35,3,Undirected,98
11,39,2,Undirected,99
12,14,3,Undirected,100
12,15,3,Undirected,101
12,20,3,Undirected,102
13,16,2,Undirected,103
13,33,1,Undirected,104
14,15,9,Undirected,105
14,18,2,Undirected,106
14,20,7,Undirected,107
14,29,2,Undirected,108
14,36,3,Undirected,109
15,20,5,Undirected,110
16,27,2,Undirected,111
16,33,4,Undirected,112
16,39,2,Undirected,113
18,23,3,Undirected,114
18,28,4,Undirected,115
18,29,7,Undirected,116
18,37,4,Undirected,117
19,25,5,Undirected,118
19,26,3,Undirected,119
19,30,5,Undirected,120
19,31,5,Undirected,121
19,32,5,Undirected,122
19,39,2,Undirected,123
20,21,3,Undirected,124
21,22,1,Undirected,125
23,28,8,Undirected,126
23,29,1,Undirected,127
23,37,8,Undirected,128
24,30,1,Undirected,129
24,31,1,Undirected,130
24,38,1,Undirected,131
25,26,3,Undirected,132
25,30,6,Undirected,133
25,31,6,Undirected,134
25,32,6,Undirected,135
25,39,2,Undirected,136
26,30,3,Undirected,137
26,31,3,Undirected,138
26,32,3,Undirected,139
26,39,1,Undirected,140
27,39,2,Undirected,141
28,29,1,Undirected,142
28,37,9,Undirected,143
29,37,1,Undirected,144
30,31,11,Undirected,145
30,32,5,Undirected,146
30,38,1,Undirected,147
30,39,2,Undirected,148
31,32,5,Undirected,149
31,34,1,Undirected,150
31,38,1,Undirected,151
31,39,2,Undirected,152
32,39,2,Undirected,153
