ID,Label,Actor,Portrayal,Screen Time
1,Addict,Ron A. Williams,Ron A. Williams as Addict,2
2,"Anton ""Stinkum"" Artis",Brandon Price,"Brandon Price as Anton ""Stinkum"" Artis",10
3,Asst. State's Atty. Rhonda Pearlman,Deirdre Lovejoy,Deirdre Lovejoy as Asst. State's Atty. Rhonda Pearlman,3
4,Asst. State's Atty. Taryn Hanson,Lucy Newman-Williams,Lucy Newman-Williams as Asst. State's Atty. Taryn Hanson,6
5,Avon Barksdale,Wood Harris,Wood Harris as Avon Barksdale,5
6,Bailiff,Enrique Chicas,Enrique Chicas as Bailiff,4
7,Cheryl,Melanie Nicholls-King,Melanie Nicholls-King as Cheryl,2
8,D'Angelo Barksdale,Lawrence Gilliard Jr.,Lawrence Gilliard Jr. as D'Angelo Barksdale,30
9,Det. Ellis Carver,Seth Gilliam,Seth Gilliam as Det. Ellis Carver,10
10,Det. Frank Barlow,Michael Stone Forrest,Michael Stone Forrest as Det. Frank Barlow,4
11,"Det. James ""Jimmy"" McNulty",Dominic West,"Dominic West as Det. James ""Jimmy"" McNulty",34
12,"Det. Michael ""Sanny"" Santangelo",Michael Salconi,"Michael Salconi as Det. Michael ""Sanny"" Santangelo",3
13,Det. Ray Cole,Robert F. Colesberry,Robert F. Colesberry as Det. Ray Cole,2
14,"Det. Shakima ""Kima"" Greggs",Sonja Sohn,"Sonja Sohn as Det. Shakima ""Kima"" Greggs",15
15,"Det. Thomas ""Herc"" Hauk",Domenick Lombardozzi,"Domenick Lombardozzi as Det. Thomas ""Herc"" Hauk",10
16,"Det. William ""Bunk"" Moreland",Wendell Pierce,"Wendell Pierce as Det. William ""Bunk"" Moreland",15
17,"FBI Spec. Agent Terrance ""Fitz"" Fitzhugh",Doug Olear,"Doug Olear as FBI Spec. Agent Terrance ""Fitz"" Fitzhugh",3
18,Johnny Weeks,Leo Fitzpatrick,Leo Fitzpatrick as Johnny Weeks,11
19,Judge Daniel Phelan,Peter Gerety,Peter Gerety as Judge Daniel Phelan,8
20,Lt. Cedric Daniels,Lance Reddick,Lance Reddick as Lt. Cedric Daniels,11
21,Maj. Raymond Foerster,Richard DeAngelis,Richard DeAngelis as Maj. Raymond Foerster,4
22,Maj. William A. Rawls,John Doman,John Doman as Maj. William A. Rawls,5
23,"Malik ""Poot"" Carr",Tray Chaney,"Tray Chaney as Malik ""Poot"" Carr",8
24,Marcel,Marcel,Marcel,1
25,"Maurice ""Maury"" Levy",Michael Kostroff,"Michael Kostroff as Maurice ""Maury"" Levy",7
26,Nakeesha Lyles,Ingrid Cornell,Ingrid Cornell as Nakeesha Lyles,3
27,Off. Bobby Brown,Bobby J. Brown,Bobby J. Brown as Off. Bobby Brown,2
28,"Preston ""Bodie"" Broadus",J.D. Williams,"J.D. Williams as Preston ""Bodie"" Broadus",9
29,"Reginald ""Bubbles"" Cousins",Andre Royo,"Andre Royo as Reginald ""Bubbles"" Cousins",7
30,"Roland ""Wee-Bey"" Brice",Hassan Johnson,"Hassan Johnson as Roland ""Wee-Bey"" Brice",13
31,"Russell ""Stringer"" Bell",Idris Elba,"Idris Elba as Russell ""Stringer"" Bell",12
32,Savino Bratton,Chris Clanton,Chris Clanton as Savino Bratton,6
33,Sgt. Jay Landsman,Delaney Williams,Delaney Williams as Sgt. Jay Landsman,6
34,Shardene Innes,Wendy Grantham,Wendy Grantham as Shardene Innes,3
35,Snot Boogie's Friend,Kamal Bostic-Smith,Kamal Bostic-Smith as Snot Boogie's Friend,3
36,Tiff (Crack Addict),Nikki Bell,Nikki Bell as Tiff (Crack Addict),3
37,Wallace,Michael B. Jordan,Michael B. Jordan as Wallace,9
38,"Wendell ""Orlando"" Blocker",Clayton LeBouef,"Clayton LeBouef as Wendell ""Orlando"" Blocker",1
39,William Gant,Larry Hull,Larry Hull as William Gant,4
