Source,Target,Weight,Type,ID
1,3,2,Undirected,0
1,23,1,Undirected,1
1,32,1,Undirected,2
1,33,1,Undirected,3
1,73,3,Undirected,4
1,74,3,Undirected,5
1,90,3,Undirected,6
2,44,2,Undirected,7
2,60,1,Undirected,8
2,72,2,Undirected,9
2,87,2,Undirected,10
3,7,4,Undirected,11
3,8,13,Undirected,12
3,10,2,Undirected,13
3,15,3,Undirected,14
3,19,16,Undirected,15
3,23,2,Undirected,16
3,24,2,Undirected,17
3,25,6,Undirected,18
3,27,1,Undirected,19
3,31,1,Undirected,20
3,32,2,Undirected,21
3,33,1,Undirected,22
3,35,1,Undirected,23
3,43,2,Undirected,24
3,45,4,Undirected,25
3,60,5,Undirected,26
3,61,1,Undirected,27
3,63,3,Undirected,28
3,65,5,Undirected,29
3,67,3,Undirected,30
3,70,3,Undirected,31
3,72,4,Undirected,32
3,73,2,Undirected,33
3,74,18,Undirected,34
3,75,22,Undirected,35
3,76,5,Undirected,36
3,79,1,Undirected,37
3,83,3,Undirected,38
3,87,4,Undirected,39
3,88,1,Undirected,40
3,89,1,Undirected,41
3,90,2,Undirected,42
4,25,4,Undirected,43
4,32,4,Undirected,44
4,46,2,Undirected,45
4,64,4,Undirected,46
4,69,2,Undirected,47
5,14,3,Undirected,48
5,49,3,Undirected,49
5,65,3,Undirected,50
5,72,3,Undirected,51
6,23,3,Undirected,52
6,25,11,Undirected,53
6,28,3,Undirected,54
6,32,5,Undirected,55
6,33,3,Undirected,56
6,45,3,Undirected,57
6,53,6,Undirected,58
7,10,3,Undirected,59
7,19,6,Undirected,60
7,24,1,Undirected,61
7,25,5,Undirected,62
7,45,5,Undirected,63
7,65,6,Undirected,64
7,67,3,Undirected,65
7,74,5,Undirected,66
7,75,5,Undirected,67
7,76,6,Undirected,68
7,89,2,Undirected,69
8,9,3,Undirected,70
8,17,1,Undirected,71
8,19,16,Undirected,72
8,36,2,Undirected,73
8,61,1,Undirected,74
8,74,7,Undirected,75
8,75,16,Undirected,76
8,76,2,Undirected,77
8,87,2,Undirected,78
8,88,1,Undirected,79
9,19,3,Undirected,80
10,19,3,Undirected,81
10,24,1,Undirected,82
10,25,4,Undirected,83
10,45,3,Undirected,84
10,65,3,Undirected,85
10,67,1,Undirected,86
10,74,3,Undirected,87
10,75,3,Undirected,88
10,76,3,Undirected,89
10,89,2,Undirected,90
11,35,2,Undirected,91
12,19,3,Undirected,92
12,79,3,Undirected,93
12,88,3,Undirected,94
13,35,1,Undirected,95
13,59,1,Undirected,96
13,78,1,Undirected,97
14,23,2,Undirected,98
14,33,3,Undirected,99
14,49,3,Undirected,100
14,65,3,Undirected,101
14,72,3,Undirected,102
15,22,2,Undirected,103
15,23,1,Undirected,104
15,25,8,Undirected,105
15,26,1,Undirected,106
15,32,5,Undirected,107
15,34,2,Undirected,108
15,37,2,Undirected,109
15,43,11,Undirected,110
15,60,7,Undirected,111
15,68,1,Undirected,112
15,70,21,Undirected,113
15,72,4,Undirected,114
15,73,1,Undirected,115
15,80,3,Undirected,116
15,83,3,Undirected,117
15,87,5,Undirected,118
16,19,2,Undirected,119
17,74,1,Undirected,120
18,25,1,Undirected,121
18,32,9,Undirected,122
19,21,2,Undirected,123
19,23,3,Undirected,124
19,24,2,Undirected,125
19,25,21,Undirected,126
19,26,2,Undirected,127
19,27,4,Undirected,128
19,28,1,Undirected,129
19,29,2,Undirected,130
19,31,1,Undirected,131
19,32,13,Undirected,132
19,33,1,Undirected,133
19,35,15,Undirected,134
19,36,7,Undirected,135
19,38,4,Undirected,136
19,41,2,Undirected,137
19,44,2,Undirected,138
19,45,5,Undirected,139
19,53,5,Undirected,140
19,60,27,Undirected,141
19,61,1,Undirected,142
19,65,9,Undirected,143
19,67,3,Undirected,144
19,68,2,Undirected,145
19,71,2,Undirected,146
19,72,32,Undirected,147
19,73,4,Undirected,148
19,74,18,Undirected,149
19,75,26,Undirected,150
19,76,7,Undirected,151
19,79,15,Undirected,152
19,86,3,Undirected,153
19,87,40,Undirected,154
19,88,4,Undirected,155
19,89,4,Undirected,156
19,90,1,Undirected,157
20,45,3,Undirected,158
20,53,13,Undirected,159
20,56,3,Undirected,160
20,57,6,Undirected,161
20,58,5,Undirected,162
20,59,6,Undirected,163
21,23,13,Undirected,164
21,25,18,Undirected,165
21,26,13,Undirected,166
21,27,13,Undirected,167
21,28,11,Undirected,168
21,29,17,Undirected,169
21,31,13,Undirected,170
21,32,20,Undirected,171
21,33,10,Undirected,172
21,53,19,Undirected,173
21,72,2,Undirected,174
21,74,2,Undirected,175
22,25,2,Undirected,176
22,34,2,Undirected,177
22,60,1,Undirected,178
23,25,22,Undirected,179
23,26,22,Undirected,180
23,27,20,Undirected,181
23,28,14,Undirected,182
23,29,10,Undirected,183
23,31,17,Undirected,184
23,32,35,Undirected,185
23,33,59,Undirected,186
23,43,1,Undirected,187
23,50,6,Undirected,188
23,53,26,Undirected,189
23,70,1,Undirected,190
23,72,14,Undirected,191
23,73,7,Undirected,192
23,74,4,Undirected,193
23,90,2,Undirected,194
24,25,4,Undirected,195
24,45,1,Undirected,196
24,65,2,Undirected,197
24,74,2,Undirected,198
24,75,2,Undirected,199
24,76,1,Undirected,200
25,26,21,Undirected,201
25,27,37,Undirected,202
25,28,13,Undirected,203
25,29,12,Undirected,204
25,30,3,Undirected,205
25,31,19,Undirected,206
25,32,92,Undirected,207
25,33,14,Undirected,208
25,34,2,Undirected,209
25,35,48,Undirected,210
25,37,4,Undirected,211
25,38,2,Undirected,212
25,39,2,Undirected,213
25,40,8,Undirected,214
25,45,17,Undirected,215
25,46,2,Undirected,216
25,51,6,Undirected,217
25,53,39,Undirected,218
25,59,7,Undirected,219
25,60,5,Undirected,220
25,64,4,Undirected,221
25,65,8,Undirected,222
25,66,7,Undirected,223
25,67,3,Undirected,224
25,68,1,Undirected,225
25,69,2,Undirected,226
25,70,13,Undirected,227
25,72,5,Undirected,228
25,73,18,Undirected,229
25,74,8,Undirected,230
25,75,7,Undirected,231
25,76,6,Undirected,232
25,77,4,Undirected,233
25,78,14,Undirected,234
25,81,2,Undirected,235
25,82,3,Undirected,236
25,85,3,Undirected,237
25,87,4,Undirected,238
25,89,4,Undirected,239
25,90,1,Undirected,240
26,27,17,Undirected,241
26,28,10,Undirected,242
26,29,10,Undirected,243
26,31,9,Undirected,244
26,32,27,Undirected,245
26,33,15,Undirected,246
26,43,1,Undirected,247
26,53,15,Undirected,248
26,70,1,Undirected,249
26,72,3,Undirected,250
26,73,5,Undirected,251
26,74,2,Undirected,252
27,28,9,Undirected,253
27,29,9,Undirected,254
27,31,17,Undirected,255
27,32,28,Undirected,256
27,33,14,Undirected,257
27,35,3,Undirected,258
27,53,24,Undirected,259
27,55,2,Undirected,260
27,70,5,Undirected,261
27,72,3,Undirected,262
27,73,3,Undirected,263
27,74,1,Undirected,264
27,75,1,Undirected,265
28,29,11,Undirected,266
28,31,8,Undirected,267
28,32,17,Undirected,268
