ID,Label,Actor,Screen Time
1,"""Ronnie Mo"" Watkins",Jarvis W. George,3
2,Addict,Ron A. Williams,2
3,"Anton ""Stinkum"" Artis",Brandon Price,32
4,Asst. State's Atty. Dawkins,Unknown Actor,4
5,Asst. State's Atty. Juvenille Hall,Unknown Actor,3
6,Asst. State's Atty. Rhonda Pearlman,Deirdre Lovejoy,14
7,Asst. State's Atty. Taryn Hanson,Lucy Newman-Williams,6
8,Avon Barksdale,Wood Harris,29
9,Avon Barksdale's Brother,Unknown Actor,3
10,Bailiff,Enrique Chicas,4
11,Ballistics Expert,Unknown Actor,2
12,Bar Patron,Unknown Actor,3
13,Bill Zorzi,William F. Zorzi,1
14,Bodie's Grandmother,Caroline G. Pleasant,6
15,Brandon Wright,Michael Kevin Darnall,26
16,Cassandra,Unknown Actor,2
17,Chantay,Unknown Actress,1
18,Cheryl,Melanie Nicholls-King,9
19,D'Angelo Barksdale,Lawrence Gilliard Jr.,116
20,Dep. Comm. for Operations Ervin H. Burrell,Frankie Faison,16
21,Det. Augustus Polk,Nat Benchley,26
22,Det. Edward Norris,Edward T. Norris,2
23,Det. Ellis Carver,Seth Gilliam,71
24,Det. Frank Barlow,Michael Stone Forrest,4
25,"Det. James ""Jimmy"" McNulty",Dominic West,190
26,Det. Leander Sydnor,Corey Parker Robinson,31
27,Det. Lester Freamon,Clarke Peters,54
28,"Det. Michael ""Sanny"" Santangelo",Michael Salconi,22
29,Det. Patrick Mahon,Tom Quinn,17
30,Det. Ray Cole,Robert F. Colesberry,5
31,"Det. Roland ""Prez"" Pryzbylewski",Jim True-Frost,31
32,"Det. Shakima ""Kima"" Greggs",Sonja Sohn,129
33,"Det. Thomas ""Herc"" Hauk",Domenick Lombardozzi,62
34,Det. Vernon Holley,Brian Anthony Wilson,2
35,"Det. William ""Bunk"" Moreland",Wendell Pierce,56
36,Donette,Shamyl Brown,7
37,Dr. Randall Frazier,Erik Dellums,4
38,Drug Dealer,Aaron Moss,4
39,Elena McNulty,Callie Thorne,2
40,"FBI Spec. Agent Terrance ""Fitz"" Fitzhugh",Doug Olear,8
41,Head Waiter,Keith Waters,2
42,Hucklebuck,Gil Deeble,10
43,John Bailey,Lance Williams,11
44,Johnny Weeks,Leo Fitzpatrick,27
45,Judge Daniel Phelan,Peter Gerety,20
46,Judge Emily Johnson,Kim Tuvin,2
47,Juvenile Delinquent,Philip Byron,2
48,Juvenile Hall Correctional Officer,Unknown Actor,2
49,Juvenile Hall Judge,Unknown Actor,3
50,Kevin Johnston,Jimmie Jelani Manners,6
51,Landlord,Unknown Actor,6
52,Lavell,Unknown Actor,3
53,Lt. Cedric Daniels,Lance Reddick,84
54,Lt. Walter Cantrell,Dave Trovato,2
55,Mack Lewis,Mack Lewis,2
56,Maj. Bobby Reed,Tony D. Head,3
57,Maj. Raymond Foerster,Richard DeAngelis,12
58,Maj. Stanislaus Valchek,Al Brown,5
59,Maj. William A. Rawls,John Doman,26
60,"Malik ""Poot"" Carr",Tray Chaney,43
61,Marcel,Marcel,1
62,Marla Daniels,Maria Broom,4
63,"Marquis ""Bird"" Hilton",Fredro Starr,3
64,Marvin Browning,Jeorge Bennett Watson,5
65,"Maurice ""Maury"" Levy",Michael Kostroff,12
66,Michael McNulty,Antonio Cordova,8
67,Nakeesha Lyles,Ingrid Cornell,3
68,Off. Bobby Brown,Bobby J. Brown,4
69,Officer in Courtroom,Gbenga Akinnagbe,2
70,Omar Little,Michael Kenneth Williams,31
71,Piano Player in Restaurant,David J. Smolar,2
72,"Preston ""Bodie"" Broadus",J.D. Williams,62
73,"Reginald ""Bubbles"" Cousins",Andre Royo,51
74,"Roland ""Wee-Bey"" Brice",Hassan Johnson,29
75,"Russell ""Stringer"" Bell",Idris Elba,37
76,Savino Bratton,Chris Clanton,9
77,Sean McNulty,Eric G. Ryan,5
78,Sgt. Jay Landsman,Delaney Williams,26
79,Shardene Innes,Wendy Grantham,15
80,Shirley,Unknown Actor,3
81,Snot Boogie,Snot Boogie,2
82,Snot Boogie's Friend,Kamal Bostic-Smith,3
83,Sterling,Curtis Montez,3
84,Tiff (Crack Addict),Nikki Bell,3
85,Tywanda,Angel M. Wainwright,3
86,Waiter,Aaron Michael Lacey,3
87,Wallace,Michael B. Jordan,51
88,"Wendell ""Orlando"" Blocker",Clayton LeBouef,4
89,William Gant,Larry Hull,6
90,"Wintell ""Little Man"" Royce",Micaiah Jones,4
